"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"4881",8641,"México DF Taxi de Sitio","20/05/2017 12:08","20/05/2017 12:20",-99.15592442,19.2947682,-99.1394724,19.29205168,"N",704,0.2,2952,2.952,361,6.016666667
"4882",8644,"México DF Taxi de Sitio","20/05/2017 03:24","20/05/2017 03:41",-99.1297874,19.28983094,-99.1596054,19.29590028,"N",1001,0.28,4845,4.845,267,4.45
"4883",8645,"México DF Taxi Libre","20/05/2017 04:09","20/05/2017 04:22",-99.23825434,19.367029,-99.20298,19.36533134,"N",792,0.22,5068,5.068,142,2.366666667
"4884",8647,"México DF Taxi Libre","20/05/2017 05:20","20/05/2017 05:49",-99.1400683,19.3022367,-99.10320634,19.26692734,"N",1710,0.48,7362,7.362,540,9
"4885",8649,"México DF Radio Taxi","20/05/2017 11:35","20/05/2017 11:38",-99.1602073,19.4199322,-99.16357548,19.41841098,"N",151,0.04,494,0.494,53,0.883333333
"4886",8650,"México DF Radio Taxi","21/05/2017 04:57","21/05/2017 05:12",-99.16333309,19.39665098,-99.15517816,19.40522844,"N",889,0.25,3410,3.41,476,7.933333333
"4887",8653,"México DF Taxi Libre","21/05/2017 09:44","21/05/2017 10:01",-99.2113214,19.26768918,-99.23202302,19.23217,"N",1015,0.28,8954,8.954,82,1.366666667
"4888",8655,"México DF Taxi Libre","14/07/2016 11:23","14/07/2016 11:26",-99.12984471,19.29652926,-99.13298911,19.30337161,"N",208,0.06,1263,1.263,30,0.5
"4889",8656,"México DF Taxi de Sitio","14/07/2016 11:25","14/07/2016 11:31",-99.18423707,19.44353763,-99.18700014,19.44309786,"N",345,0.1,1455,1.455,24,0.4
"4890",8658,"México DF Taxi Libre","14/07/2016 03:31","14/07/2016 03:44",-99.18000754,19.47737176,-99.20411228,19.50326766,"N",791,0.22,5088,5.088,262,4.366666667
"4891",8659,"México DF Taxi Libre","14/07/2016 03:25","14/07/2016 04:02",-99.26574442,19.48147332,-99.2656112,19.48122793,"N",2192,0.61,35,0.035,149,2.483333333
"4892",8664,"México DF Taxi de Sitio","14/07/2016 07:17","14/07/2016 07:17",-99.14855859,19.33588582,-99.14912572,19.33627512,"N",11,0,78,0.078,0,0
"4893",8666,"México DF UberX","14/07/2016 08:20","14/07/2016 08:21",-99.00907862,19.66834579,-99.00903966,19.66852548,"N",61,0.02,22,0.022,54,0.9
"4894",8669,"México DF Taxi Libre","15/07/2016 08:00","15/07/2016 08:14",-99.20217177,19.38181864,-99.20413443,19.34333043,"N",872,0.24,6741,6.741,190,3.166666667
"4895",8671,"México DF Taxi Libre","15/07/2016 09:12","15/07/2016 09:33",-99.12769733,19.35514718,-99.11652626,19.4148951,"N",1311,0.36,7160,7.16,0,0
"4896",8673,"México DF Taxi Libre","15/07/2016 09:51","15/07/2016 09:58",-99.20367824,19.37939304,-99.20570164,19.37655392,"N",404,0.11,1521,1.521,55,0.916666667
"4897",8674,"México DF Taxi Libre","15/07/2016 10:21","15/07/2016 11:03",-99.12131626,19.33076269,-99.1726433,19.3925767,"N",2465,0.68,9265,9.265,2,0.033333333
